Competency Code,Domain #,Domain Name,Skill Area Code,Skill Area Name,Competency Title,Description,Job Task 1,Job Task 2,Job Task 3,Foundational - Knowledge,Foundational - Application,Intermediate - Knowledge,Intermediate - Application,Advanced - Knowledge,Advanced - Application,Expert - Knowledge,Expert - Application,Public Agencies,Private Sector,NGOs,Consulting,Academia
1.1.1,1,Ecological & Scientific Knowledge,1.1,ECOSYSTEM SCIENCE,Ecosystem dynamics and processes,"Understanding how energy and nutrients flow through natural systems, and how different species interact with each other over time.",Conduct field-based studies to observe food web interactions,Model nutrient cycling in different habitat types using ecological software,Develop restoration plans that consider species interdependencies,"Understands basic ecological concepts (food webs, nutrient cycles, energy flow)",Recognizes ecosystem processes in the field,Applies ecosystem theory to real-world systems; understands feedback loops,Analyzes ecosystem function and identifies limiting factors,Expert in ecosystem theory; understands complex interactions and thresholds,Predicts ecosystem responses; designs experiments testing ecosystem function,Shapes understanding of ecosystem theory and application,Leads transformative ecosystem research or management programs,"Ecosystem-based management, ecosystem service assessments","Natural capital accounting, ecosystem service valuation","Ecosystem restoration, intact ecosystem protection strategies","Ecosystem impact assessments, ecosystem service analysis","Ecosystem ecology research, theoretical development"
1.1.2,1,Ecological & Scientific Knowledge,1.1,ECOSYSTEM SCIENCE,Biodiversity assessment and monitoring,"Measuring and tracking the variety of plants, animals, and other organisms in an area to understand ecosystem health.",Design and implement biodiversity monitoring protocols,Analyze long-term biodiversity data to assess conservation impacts,Report findings to policymakers and recommend habitat protections,"Understands biodiversity concepts (genetic, species, ecosystem diversity)",Conducts basic biodiversity surveys,Applies biodiversity assessment methods; understands sampling design,Designs and implements monitoring programs,Expert in biodiversity science; understands conservation biogeography,Leads landscape-scale biodiversity assessments,Shapes biodiversity science and conservation practice,Leads major biodiversity initiatives at regional/global scales,"Biodiversity inventories for protected areas, Endangered Species Act assessments","Biodiversity impact assessments, biodiversity net gain calculations","Biodiversity hotspot identification, conservation prioritization","Biodiversity surveys for development projects, offset calculations","Biodiversity research, macroecology, conservation biology"
1.1.3,1,Ecological & Scientific Knowledge,1.1,ECOSYSTEM SCIENCE,Ecological succession principles,"Understanding how plant and animal communities naturally change over time, such as how a field becomes a forest or how an area recovers after a fire.",Map stages of ecological succession in post-disturbance sites,Use historical data to predict future vegetation states in unmanaged lands,Recommend restoration techniques that align with natural successional pathways,"Understands basic succession concepts (primary, secondary succession; pioneer vs climax species)",Recognizes successional stages in the field,Applies successional theory to predict vegetation change,Uses succession concepts in management and restoration,Expert in succession theory; understands alternative stable states,Designs management strategies leveraging or manipulating succession,Advances successional ecology theory and application,Shapes how succession informs landscape management,"Post-fire management, vegetation management planning","Reclamation of disturbed lands, habitat succession management","Restoration ecology, old-growth forest conservation","Restoration planning, vegetation trajectory prediction","Succession research, community ecology"
1.1.4,1,Ecological & Scientific Knowledge,1.1,ECOSYSTEM SCIENCE,Disturbance ecology,"Understanding how events like fires, floods, or storms affect ecosystems and how natural systems recover from these disruptions.",Analyze fire history data to understand recurring disturbance patterns,Assess ecosystem resilience following flood or wildfire events,Design post-disturbance recovery plans incorporating ecological thresholds,Understands basic disturbance types and their ecological effects,Recognizes disturbance impacts in the field,Applies disturbance ecology theory; understands disturbance regimes,Assesses disturbance impacts and predicts recovery,Expert in disturbance ecology; understands multiple interacting disturbances,Designs management incorporating or mimicking disturbance regimes,Shapes understanding of disturbance ecology and application,Leads transformative research or management of disturbance-dependent systems,"Fire management, post-disaster recovery, disturbance-based habitat management","Natural disturbance risk assessment, post-disturbance salvage planning","Advocacy for natural disturbance regimes, fire ecology education","Disturbance impact assessments, restoration after disturbance","Disturbance ecology research, fire ecology"
1.1.5,1,Ecological & Scientific Knowledge,1.1,ECOSYSTEM SCIENCE,Habitat requirements analysis,Determining what specific conditions different plants and animals need to survive and thrive in their environment.,Conduct field studies to document species-specific habitat needs,Evaluate habitat suitability using GIS-based landscape analysis,Integrate habitat data into land-use planning to minimize ecological impacts,"Understands basic habitat concepts (cover, forage, water, space)",Describes habitat for common species,Applies habitat ecology theory; understands limiting factors,Conducts habitat assessments and suitability analyses,Expert in habitat ecology; understands scale-dependent habitat selection,Designs habitat management strategies across landscapes,Shapes habitat science and conservation practice,Leads transformative habitat conservation initiatives,"Critical habitat designation, habitat conservation plans","Habitat mitigation, habitat conservation banking","Habitat protection prioritization, wildlife corridor design","Habitat assessments for development projects, mitigation design","Habitat ecology research, species-habitat relationships"
1.2.1,1,Ecological & Scientific Knowledge,1.2,SOIL & WATER SCIENCE,Soil classification and mapping,Identifying different soil types and creating maps that show where they occur across a landscape.,Conduct field surveys to classify soil horizons and types using USDA standards,Create digital soil maps using GIS and field data,Interpret soil maps to guide land use planning and conservation practices,Understands soil formation factors and basic taxonomy,Describes soil profiles using standard terminology,Applies soil taxonomy to great group/subgroup; understands soil-landscape relationships,Conducts soil surveys and creates soil maps,Expert in soil classification and geomorphology,Leads complex soil survey projects,Shapes soil classification and survey standards,Provides national/international leadership in soil science,"NRCS soil surveys, land management planning, wetland delineation","Site assessments, agricultural planning, development suitability","Conservation planning, restoration site assessment","Soil surveys for projects, wetland delineation, environmental site assessments","Soil genesis research, pedology, soil geography"
1.2.2,1,Ecological & Scientific Knowledge,1.2,SOIL & WATER SCIENCE,Soil chemistry and biology,Understanding the chemical composition of soils and the living organisms within them that contribute to soil health.,Collect and analyze soil samples to assess nutrient levels and microbial activity,Diagnose soil health problems related to contamination or nutrient deficiency,Recommend soil amendments to improve fertility and biological function,"Understands basic soil chemistry (pH, nutrients, CEC) and soil organisms",Collects soil samples and interprets basic tests,Applies soil chemistry and microbiology principles; understands biogeochemical cycles,Diagnoses soil problems and recommends management,Expert in soil chemistry and biology; understands soil food webs and biogeochemistry,Solves complex soil problems; leads soil health initiatives,Shapes soil chemistry and biology science and practice,Leads transformative soil health initiatives,"Soil health programs, contaminated site assessment","Agricultural soil management, soil carbon programs, brownfield remediation","Soil health advocacy, regenerative agriculture promotion","Contaminated site assessment, agricultural consulting","Soil chemistry/biology research, biogeochemistry"
1.2.3,1,Ecological & Scientific Knowledge,1.2,SOIL & WATER SCIENCE,Watershed hydrology,"Understanding how water moves through a landscape, from rainfall to rivers and underground systems.","Measure streamflow, precipitation, and groundwater levels to model watershed behavior",Analyze hydrologic data to identify flooding risks and water availability trends,Develop watershed management plans to reduce runoff and improve infiltration,"Understands water cycle, watershed concepts, basic hydrology",Collects hydrologic data and assists with analysis,Applies hydrologic principles; understands watershed processes,Analyzes watershed hydrology and develops management recommendations,Expert in watershed science; understands complex hydrologic systems,Leads watershed studies and management programs,Shapes watershed science and management practice,Provides leadership on major watershed initiatives,"Watershed management, flood risk assessment, water supply planning","Water resource development, hydropower, stormwater management","Watershed protection, river restoration","Hydrologic studies, water resource engineering, stormwater design","Hydrology research, watershed modeling"
1.2.4,1,Ecological & Scientific Knowledge,1.2,SOIL & WATER SCIENCE,"Water quality assessment Testing and evaluating water conditions to determine if it is suitable for wildlife, recreation, or human use.",,"Collect water samples to test for pollutants, pH, turbidity, and other quality indicators",Interpret water quality results to determine compliance with environmental standards,Advise on remediation strategies for impaired streams or water bodies,Understands basic water quality parameters and standards,Collects water samples and conducts field measurements,Applies water quality science; understands pollutant fate and transport,Designs monitoring programs and interprets complex results,Expert in water quality science; understands aquatic ecosystems,Leads water quality programs and develops solutions,Shapes water quality science and policy,Leads transformative water quality initiatives,"Water quality monitoring, NPDES permitting, impaired waters programs","Industrial discharge monitoring, water treatment, compliance","Water quality advocacy, stream monitoring programs","Water quality assessments, NPDES compliance, remediation design","Water quality research, aquatic chemistry, limnology"
1.2.5,1,Ecological & Scientific Knowledge,1.2,SOIL & WATER SCIENCE,Erosion processes and control,"Understanding how soil gets carried away by wind or water, and techniques to prevent unwanted erosion.",Assess slope stability and identify erosion-prone areas using field and remote sensing data,"Implement erosion control measures such as check dams, vegetation buffers, or terraces",Monitor effectiveness of erosion control structures and adapt management accordingly,"Understands erosion processes (sheet, rill, gully, streambank, wind)",Identifies erosion problems and installs basic controls,Applies erosion science; understands sediment transport,Designs erosion control strategies for sites,Expert in erosion and sediment science,Solves complex erosion problems at landscape scale,Shapes erosion science and management practice,Leads major erosion control or watershed sediment programs,"Road erosion control, mine reclamation, agricultural conservation programs","Construction erosion control, mine reclamation, agricultural operations","Stream restoration, erosion control education","Erosion control design, SWPPP development, stream restoration","Erosion research, geomorphology, sediment transport"
