Competency Code,Domain #,Domain Name,Skill Area Code,Skill Area Name,Competency Title,Proficiency Level,Knowledge,Application,Indicator 1,Indicator 2,Indicator 3,Indicator 4,Indicator 5,Indicator 6
1.1.1,1,Ecological & Scientific Knowledge,1.1,ECOSYSTEM SCIENCE,Ecosystem dynamics and processes,FOUNDATIONAL,"Understands basic ecological concepts (food webs, nutrient cycles, energy flow)",Recognizes ecosystem processes in the field,Explains trophic levels and energy transfer,"Identifies major nutrient cycles (carbon, nitrogen, water)",Recognizes predator-prey relationships in ecosystems,Understands concept of ecosystem services,Collects field data on ecosystem processes with guidance,
1.1.1,1,Ecological & Scientific Knowledge,1.1,ECOSYSTEM SCIENCE,Ecosystem dynamics and processes,INTERMEDIATE,Applies ecosystem theory to real-world systems; understands feedback loops,Analyzes ecosystem function and identifies limiting factors,Diagrams energy and nutrient flows in specific ecosystems,Identifies keystone species and their ecosystem roles,Recognizes trophic cascades and indirect effects,Analyzes how disturbances affect ecosystem processes,Uses ecosystem models to predict responses to change,Interprets ecosystem indicators of health or stress
1.1.1,1,Ecological & Scientific Knowledge,1.1,ECOSYSTEM SCIENCE,Ecosystem dynamics and processes,ADVANCED,Expert in ecosystem theory; understands complex interactions and thresholds,Predicts ecosystem responses; designs experiments testing ecosystem function,Designs and implements ecosystem-level studies,Identifies and measures ecosystem state changes and regime shifts,Models complex multi-species interactions,Predicts ecosystem responses to multiple stressors,Publishes research on ecosystem processes,Integrates ecosystem science into adaptive management frameworks
1.1.1,1,Ecological & Scientific Knowledge,1.1,ECOSYSTEM SCIENCE,Ecosystem dynamics and processes,EXPERT,Shapes understanding of ecosystem theory and application,Leads transformative ecosystem research or management programs,Develops new conceptual frameworks for ecosystem understanding,Leads major research programs on ecosystem function,Influences how ecosystem science informs policy and management,Publishes influential papers advancing ecosystem ecology,Mentors ecosystem scientists across institutions,
1.1.2,1,Ecological & Scientific Knowledge,1.1,ECOSYSTEM SCIENCE,Biodiversity assessment and monitoring,FOUNDATIONAL,"Understands biodiversity concepts (genetic, species, ecosystem diversity)",Conducts basic biodiversity surveys,Explains importance of biodiversity for ecosystem function,Conducts species inventories using standardized protocols,Uses field guides and keys for species identification,Records biodiversity data accurately,"Calculates basic diversity indices (richness, Shannon index)",
1.1.2,1,Ecological & Scientific Knowledge,1.1,ECOSYSTEM SCIENCE,Biodiversity assessment and monitoring,INTERMEDIATE,Applies biodiversity assessment methods; understands sampling design,Designs and implements monitoring programs,Designs statistically valid sampling protocols for biodiversity assessment,Uses multiple survey methods appropriate to taxa and systems,Analyzes spatial and temporal patterns in biodiversity,Interprets biodiversity indicators of ecosystem condition,Identifies priority areas for biodiversity conservation,Integrates biodiversity data into management decisions
1.1.2,1,Ecological & Scientific Knowledge,1.1,ECOSYSTEM SCIENCE,Biodiversity assessment and monitoring,ADVANCED,Expert in biodiversity science; understands conservation biogeography,Leads landscape-scale biodiversity assessments,Designs comprehensive biodiversity monitoring programs,Analyzes biodiversity trends across spatial and temporal scales,Models biodiversity responses to environmental change,Evaluates effectiveness of conservation interventions on biodiversity,"Uses advanced techniques (eDNA, acoustic monitoring, remote sensing)",Publishes biodiversity research
1.1.2,1,Ecological & Scientific Knowledge,1.1,ECOSYSTEM SCIENCE,Biodiversity assessment and monitoring,EXPERT,Shapes biodiversity science and conservation practice,Leads major biodiversity initiatives at regional/global scales,Directs national or international biodiversity programs,"Influences biodiversity policy and targets (e.g., post-2020 biodiversity framework)",Develops innovative biodiversity assessment approaches,Publishes influential biodiversity research,Provides expert guidance on biodiversity to governments/organizations,
1.1.3,1,Ecological & Scientific Knowledge,1.1,ECOSYSTEM SCIENCE,Ecological succession principles,FOUNDATIONAL,"Understands basic succession concepts (primary, secondary succession; pioneer vs climax species)",Recognizes successional stages in the field,"Identifies early, mid, and late successional species",Explains difference between primary and secondary succession,Recognizes how disturbance resets succession,Understands concept of climax communities,Documents successional trajectories with supervision,
1.1.3,1,Ecological & Scientific Knowledge,1.1,ECOSYSTEM SCIENCE,Ecological succession principles,INTERMEDIATE,Applies successional theory to predict vegetation change,Uses succession concepts in management and restoration,Predicts successional trajectories for different site conditions,Uses succession to inform restoration planting strategies,Identifies factors that facilitate or inhibit succession,Recognizes when systems are arrested in early successional stages,Applies successional concepts to habitat management,Maps successional stages across landscapes
1.1.3,1,Ecological & Scientific Knowledge,1.1,ECOSYSTEM SCIENCE,Ecological succession principles,ADVANCED,Expert in succession theory; understands alternative stable states,Designs management strategies leveraging or manipulating succession,Predicts multiple alternative successional pathways,Designs restoration approaches for arrested succession,"Understands succession under novel conditions (climate change, invasives)",Models successional trajectories quantitatively,Recognizes threshold conditions preventing succession,Publishes on successional dynamics and management
1.1.3,1,Ecological & Scientific Knowledge,1.1,ECOSYSTEM SCIENCE,Ecological succession principles,EXPERT,Advances successional ecology theory and application,Shapes how succession informs landscape management,Develops new frameworks for understanding succession,Leads research on succession under global change,Influences how successional science informs restoration practice,Publishes influential papers on successional ecology,,
1.1.4,1,Ecological & Scientific Knowledge,1.1,ECOSYSTEM SCIENCE,Disturbance ecology,FOUNDATIONAL,Understands basic disturbance types and their ecological effects,Recognizes disturbance impacts in the field,"Identifies major disturbance types (fire, flood, windthrow, insects, disease)",Explains how disturbances create habitat heterogeneity,Recognizes immediate disturbance effects on vegetation and wildlife,Understands natural disturbance regimes for ecosystems,Assists with post-disturbance assessments,
