Domain #,Domain Name,Skill Area Code,Skill Area Name,Competency Count,Competency Codes
1,Ecological & Scientific Knowledge,1.1,ECOSYSTEM SCIENCE,5,"1.1.1, 1.1.2, 1.1.3, 1.1.4, 1.1.5"
1,Ecological & Scientific Knowledge,1.2,SOIL & WATER SCIENCE,5,"1.2.1, 1.2.2, 1.2.3, 1.2.4, 1.2.5"
1,Ecological & Scientific Knowledge,1.3,FORESTRY SCIENCE,5,"1.3.1, 1.3.2, 1.3.3, 1.3.4, 1.3.5"
1,Ecological & Scientific Knowledge,1.4,WILDLIFE & FISHERIES BIOLOGY,5,"1.4.1, 1.4.2, 1.4.3, 1.4.4, 1.4.5"
1,Ecological & Scientific Knowledge,1.5,CLIMATE SCIENCE,5,"1.5.1, 1.5.2, 1.5.3, 1.5.4, 1.5.5"
1,Ecological & Scientific Knowledge,1.6,BIOTECHNOLOGY & GENETICS,5,"1.6.1, 1.6.2, 1.6.3, 1.6.4, 1.6.5"
1,Ecological & Scientific Knowledge,1.7,NOVEL ECOSYSTEMS & ADAPTATION,5,"1.7.1, 1.7.2, 1.7.3, 1.7.4, 1.7.5"
1,Ecological & Scientific Knowledge,1.8,SUSTAINABLE AGRICULTURE SCIENCE,5,"1.8.1, 1.8.2, 1.8.3, 1.8.4, 1.8.5"
2,Technical & Technological Skills,2.1,GEOSPATIAL TECHNOLOGIES,5,"2.1.1, 2.1.2, 2.1.3, 2.1.4, 2.1.5"
2,Technical & Technological Skills,2.2,DATA MANAGEMENT & ANALYSIS,5,"2.2.1, 2.2.2, 2.2.3, 2.2.4, 2.2.5"
2,Technical & Technological Skills,2.3,FIELD TECHNOLOGY,5,"2.3.1, 2.3.2, 2.3.3, 2.3.4, 2.3.5"
2,Technical & Technological Skills,2.4,ADVANCED ANALYTICS,5,"2.4.1, 2.4.2, 2.4.3, 2.4.4, 2.4.5"
2,Technical & Technological Skills,2.5,DIGITAL COLLABORATION TOOLS,5,"2.5.1, 2.5.2, 2.5.3, 2.5.4, 2.5.5"
