DATA DICTIONARY,,,
"Column definitions, controlled vocabularies, and lens numbering reference",,,
FIELD,SHEET,VALUES / VOCABULARY,NOTES
Competency Code,All,"D.SA.N (e.g. 1.1.1). Domains 1–6 are substantive knowledge/practice domains. Domain 7 is the Cross-Cutting Professional Practice domain, housing competencies that apply across multiple domains simultaneously.",Domain.SkillArea.Sequence. Domain 7 skill areas: 7.1 = Professional Ethics Architecture; 7.2 = Human-AI Professional Practice. Code transition note: prior working documents use informal X.1–X.4 notation for ethical competencies; these map to 7.1.1–7.1.4.
Craft Primary,Dimension Tags,FC | DC | SC,"FC=Fieldcraft, DC=Datacraft, SC=Statecraft. Irreducibility test governs."
Craft Secondary,Dimension Tags,FC-sec | DC-sec | SC-sec | blank,Blank = no secondary warranted; not a gap.
Stage Primary 1/2,Dimension Tags,S1 | S2 | S3 | S4 | S5 | S6,"S1=Planning, S2=Env Review, S3=Permitting, S4=Field Ops, S5=Monitoring, S6=AM&L"
Dual Primary Exception,Dimension Tags,TRUE | FALSE,"5 documented exceptions (1.5.5, 1.6.3, 2.1.1, 2.7.3, 4.3.2)"
Reform Flag Count,Dimension Tags,0–6 integer,Count of reform sensitivity codes carried by this competency
Reform: [code],Dimension Tags,TRUE | FALSE,"Six reform codes: NEPA Timeline, Digital Permitting, CatEx Scope, Consultation, OFD, S2-S3 Boundary"
Stability Tier,Dimension Tags,Stable | Transition | Emergent,"Stable=No reform flags AND no Ac/S tasks AND not Emergent. Transition=1+ reform flag OR 1+ Ac/S task. Emergent=New professional territory (AI-enhanced, convergent robotics). REVISED LOGIC (Feb 2026): Ac tasks now trigger Transition regardless of reform flags."
Foundational Professional Prep,Dimension Tags,TRUE | FALSE,"Zero-core clusters: 3.1-3.3, 3.5, 4.4, 5.5. Universal but invisible in family-filtered views."
Zero Core,Dimension Tags,TRUE | FALSE,No profession family assigns this competency Core. See Foundational Prep flag.
F1–F15: [Name],"Dimension Tags, PF View",Core | Supporting | blank,Core=regularly required across profession. Supporting=used by some practitioners.
L1 Equity & Justice,Dimension Tags,E | I | A | blank,"CANONICAL NUMBERING (Task 7 framework document). E=Explicit, I=Implicit, A=Absent. Pending population from Task 12a data."
L2 Cultural Rights & Self-Determination,Dimension Tags,E | I | A | blank,"CANONICAL L2 = Cultural Rights (FPIC, data sovereignty, Indigenous governance). NOTE: Working documents from Tasks 12a-12b used transposed numbering (L2=Transparency, L3=Cultural Rights). Database uses canonical numbering throughout."
L3 Transparency & Accountability,Dimension Tags,E | I | A | blank,CANONICAL L3 = Transparency & Accountability. See L2 note above re transposition correction.
L4 Intervention Ethics,Dimension Tags,E | I | A | blank,"Authorization, reversibility, historical precedent triggers."
L5 Professional Integrity,Dimension Tags,E | I | A | blank,Obligations when institutional pressures conflict with public/ecological duties.
Mapping Quality,Labor Market Crosswalk,High | Medium | Low,High=near 1:1 SOC alignment. Low=fragmented or undercounted in BLS data. Low does not indicate taxonomy problem.
,,,
LENS NUMBERING CORRECTION NOTE,,,
"The ethical lens framework document (Task 7 output, ethical_lens_framework.md) defines lenses in this order:",,,
L1 = Equity and Justice,,,
L2 = Cultural Rights and Self-Determination,,,
L3 = Transparency and Accountability,,,
L4 = Intervention Ethics,,,
L5 = Professional Integrity,,,
Task 12a-12b working documents used transposed numbering (L2/L3 swapped).,,,
This database uses canonical (Task 7) numbering throughout. When populating L1-L5 columns,,,
"from Task 12a working documents, swap L2 and L3 values accordingly.",,,
,,,
REFORM SENSITIVITY CORRECTION NOTE,,,
The Task 10 working record domain summaries under-counted reform flags.,,,
"Database uses per-competency entries (the stated source of truth), not summary statistics.",,,
,,,
Metric,Working Record Summary,Database (per-competency),Difference
NEPA-timeline,26,48,+22
Digital-permitting,39,61,+22
Consultation-reform,19,27,+8
S2-S3-boundary,13,16,+3
CatEx-scope,10,11,+1
One Federal Decision,8,11,+3
Total flag instances,115,174,+59
Competencies flagged (1+),89 (41%),122 (57%),+33
,,,
57% of all competencies carry at least one reform sensitivity flag (stronger workforce signal than previously reported).,,,
,,,
,,,
TASK 13: AI/ROBOTICS EXPOSURE CLASSIFICATION COLUMNS (added Feb 2026),,,
T13: Tx Auto Type,Dimension Tags,A | Ac | H | S | V,"Automation type for task x. A=Augmentation, Ac=Compressive Augmentation, H=Human-Essential, S=Substitution, V=Supervision"
T13: Tx Tacit,Dimension Tags,Hi | Med | Lo,Tacit knowledge density for task x
T13: Tx Career,Dimension Tags,P | C | X,"Career ladder position. P=Primary Learning (0-5yr), C=Contributing (3-8yr), X=Peripheral/Specialist (8+yr)"
T13: Tx Vector,Dimension Tags,AI | Ro | Cv | —,"Automation vector. AI=Artificial Intelligence, Ro=Physical Robotics, Cv=Convergent (both), —=None (H only)"
